Año,ene,feb,mar,abr,may,jun,jul,ago,set,oct,nov,dic,Ppmax,Prom. Anu
1992,16.00,22.40,15.00,8.60,5.30,4.30,2.50,4.30,10.90,12.20,7.60,11.90,22.40,10.08
1993,20.90,21.80,34.50,15.30,6.90,0.50,2.30,10.60,9.08,15.30,16.00,33.50,34.50,15.56
1994,17.30,39.40,25.10,28.70,11.20,1.50,0.80,14.00,2.80,21.10,13.00,24.20,39.40,16.59
1995,13.80,28.00,16.50,6.80,19.90,2.00,4.80,9.70,12.70,20.80,15.00,22.80,28.00,14.40
1996,26.20,16.00,11.70,21.10,3.30,0.80,0.00,5.60,5.90,16.00,9.40,12.50,26.20,10.71
1997,13.00,22.60,12.70,12.70,1.30,0.30,1.00,7.10,14.00,7.70,12.20,29.50,29.50,11.18
1998,18.80,21.30,8.90,25.70,1.80,2.10,0.00,14.50,23.10,19.30,11.20,8.70,25.70,12.95
1999,18.80,27.70,14.50,12.90,3.30,15.80,5.80,3.00,12.70,16.50,21.60,11.20,27.70,13.65
2000,14.50,17.70,24.20,7.10,4.10,1.30,5.10,8.40,7.80,17.10,8.90,19.60,24.20,11.32
2001,24.90,16.50,17.50,12.20,5.80,1.50,7.20,1.50,17.20,20.30,13.80,29.20,29.20,13.97
2002,25.10,30.30,23.90,5.80,2.50,2.50,8.90,9.10,21.90,18.30,22.80,25.40,30.30,16.38
2003,14.70,26.40,25.70,21.80,7.60,2.30,1.00,11.90,6.70,7.40,19.30,16.80,26.40,13.47
2004,9.90,37.60,15.50,8.60,5.50,4.90,5.50,2.80,9.70,6.90,21.10,12.20,37.60,11.68
2005,22.40,13.30,16.60,12.10,6.90,0.40,3.10,2.30,7.60,26.20,20.20,13.90,26.20,12.08
2006,26.20,14.90,15.50,4.80,1.20,3.50,31.90,3.30,12.90,13.30,9.70,19.00,31.90,13.02
2007,32.40,6.50,16.00,17.30,9.00,0.00,0.80,1.30,5.80,17.70,18.40,19.60,32.40,12.07
2008,17.90,12.40,12.60,13.30,2.80,9.10,4.80,11.70,11.50,18.30,10.10,17.60,18.30,11.84
2009,23.30,16.70,32.30,40.70,6.20,6.10,3.20,25.60,13.50,6.40,14.50,34.90,40.70,18.62
2010,25.80,24.00,25.40,27.10,0.80,3.40,4.80,0.80,3.30,13.50,4.00,19.80,27.10,12.73
2011,21.20,36.50,27.00,20.50,13.80,0.00,1.90,1.30,16.30,18.10,17.00,20.60,36.50,16.18
2012,16.30,23.40,13.53,17.40,10.30,7.30,0.40,2.15,6.60,9.60,22.40,22.80,23.40,12.68
2013,22.30,22.40,8.20,18.20,2.70,5.90,1.20,18.80,13.35,10.12,10.73,22.38,22.40,13.02
